STATE NAME,DISTRICT NAME
Himachal Pradesh,Chamba
Himachal Pradesh,Kangra
Himachal Pradesh,Lahul & Spiti
Himachal Pradesh,Kullu
Himachal Pradesh,Mandi
Himachal Pradesh,Hamirpur
Himachal Pradesh,Una
Himachal Pradesh,Bilaspur
Himachal Pradesh,Solan
Himachal Pradesh,Sirmaur
Himachal Pradesh,Shimla
Himachal Pradesh,Kinnaur
Punjab,Gurdaspur
Punjab,Kapurthala
Punjab,Jalandhar
Punjab,Hoshiarpur
Punjab,Shahid Bhagat Singh Nagar
Punjab,Fatehgarh Sahib
Punjab,Ludhiana
Punjab,Moga
Punjab,Firozpur
Punjab,Muktsar
Punjab,Faridkot
Punjab,Bathinda
Punjab,Mansa
Punjab,Patiala
Punjab,Amritsar
Punjab,Tarn Taran
Punjab,Rupnagar
Punjab,Sahibzada Ajit Singh Nagar
Punjab,Sangrur
Punjab,Barnala
Haryana,Panchkula
Haryana,Ambala
Haryana,Yamunanagar
Haryana,Kurukshetra
Haryana,Kaithal
Haryana,Karnal
Haryana,Panipat
Haryana,Sonipat
Haryana,Jind
Haryana,Fatehabad
Haryana,Sirsa
Haryana,Hisar
Haryana,Bhiwani
Haryana,Rohtak
Haryana,Jhajjar
Haryana,Mahendragarh
Haryana,Rewari
Haryana,Gurgaon
Haryana,Mewat
Haryana,Faridabad
Haryana,Palwal
Rajasthan,Ganganagar
Rajasthan,Hanumangarh
Rajasthan,Bikaner
Rajasthan,Churu
Rajasthan,Jhunjhunun
Rajasthan,Alwar
Rajasthan,Bharatpur
Rajasthan,Dhaulpur
Rajasthan,Karauli
Rajasthan,Sawai Madhopur
Rajasthan,Dausa
Rajasthan,Jaipur
Rajasthan,Sikar
Rajasthan,Nagaur
Rajasthan,Jodhpur
Rajasthan,Jaisalmer
Rajasthan,Barmer
Rajasthan,Jalor
Rajasthan,Sirohi
Rajasthan,Pali
Rajasthan,Ajmer
Rajasthan,Tonk
Rajasthan,Bundi
Rajasthan,Bhilwara
Rajasthan,Rajsamand
Rajasthan,Dungarpur
Rajasthan,Banswara
Rajasthan,Chittaurgarh
Rajasthan,Kota
Rajasthan,Baran
Rajasthan,Jhalawar
Rajasthan,Udaipur
Rajasthan,Pratapgarh
Bihar,Pashchim Champaran
Bihar,Purba Champaran
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Madhubani
Bihar,Supaul
Bihar,Araria
Bihar,Kishanganj
Bihar,Purnia
Bihar,Katihar
Bihar,Madhepura
Bihar,Saharsa
Bihar,Darbhanga
Bihar,Muzaffarpur
Bihar,Gopalganj
Bihar,Siwan
Bihar,Saran
Bihar,Vaishali
Bihar,Samastipur
Bihar,Begusarai
Bihar,Khagaria
Bihar,Bhagalpur
Bihar,Banka
Bihar,Munger
Bihar,Lakhisarai
Bihar,Sheikhpura
Bihar,Nalanda
Bihar,Patna
Bihar,Bhojpur
Bihar,Buxar
Bihar,Kaimur (Bhabua)
Bihar,Rohtas
Bihar,Aurangabad
Bihar,Gaya
Bihar,Nawada
Bihar,Jamui
Bihar,Jehanabad
Bihar,Arwal
Sikkim,North  District
Sikkim,West District
Sikkim,South District
Sikkim,East District
Arunachal Pradesh,Tawang
Arunachal Pradesh,West Kameng
Arunachal Pradesh,East Kameng
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Siang
Arunachal Pradesh,East Siang
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Changlang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Dibang Valley
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lohit
Arunachal Pradesh,Anjaw
Nagaland,Mon
Nagaland,Mokokchung
Nagaland,Zunheboto
Nagaland,Wokha
Nagaland,Dimapur
Nagaland,Phek
Nagaland,Tuensang
Nagaland,Longleng
Nagaland,Kiphire
